event-id,visible,timestamp,location-long,location-lat,comments,location-error-numerical,location-error-percentile,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,utm-easting,utm-northing,utm-zone,study-timezone,study-local-timestamp
280076892,TRUE,59:23.0,-0.1991556,5.6231385,Flight 1 Step 1,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),810296.1206,622289.3477,30N,Ghana Mean Time,59:23.0
280076893,TRUE,05:00.0,-0.2111885,5.6413342,Flight 1 Step 2,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),808952.3662,624296.6868,30N,Ghana Mean Time,05:00.0
280076894,TRUE,10:00.0,-0.2261752,5.6567984,Flight 1 Step 3,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),807282.6504,626000.1564,30N,Ghana Mean Time,10:00.0
280076895,TRUE,15:01.0,-0.2384989,5.6728935,Flight 1 Step 4,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),805907.9107,627774.854,30N,Ghana Mean Time,15:01.0
280076896,TRUE,19:59.0,-0.2442364,5.6922203,Flight 1 Step 5,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),805261.655,629910.6681,30N,Ghana Mean Time,19:59.0
280076897,TRUE,25:01.0,-0.2579482,5.7179428,Flight 1 Step 6,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),803728.0691,632750.0368,30N,Ghana Mean Time,25:01.0
280076898,TRUE,29:59.0,-0.2639389,5.7397265,Flight 1 Step 7,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),803052.5002,635157.5772,30N,Ghana Mean Time,29:59.0
280076899,TRUE,35:00.0,-0.2659188,5.7556886,Flight 1 Step 8,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),802824.5891,636922.9817,30N,Ghana Mean Time,35:00.0
280076900,TRUE,40:00.0,-0.2664197,5.776907,Flight 1 Step 9,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),802757.8038,639270.8599,30N,Ghana Mean Time,40:00.0
280076901,TRUE,45:01.0,-0.2670087,5.8048951,Flight 1 Step 10,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),802677.6019,642367.8629,30N,Ghana Mean Time,45:01.0
280076902,TRUE,50:00.0,-0.2678684,5.8268646,Flight 1 Step 11,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),802570.5623,644798.6683,30N,Ghana Mean Time,50:00.0
280076903,TRUE,55:01.0,-0.2690612,5.8498646,Flight 1 Step 12,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),802426.0162,647343.3331,30N,Ghana Mean Time,55:01.0
280076904,TRUE,00:01.0,-0.270493,5.87421,Flight 1 Step 13,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),802254.2206,650036.755,30N,Ghana Mean Time,00:01.0
280076905,TRUE,05:00.0,-0.2766269,5.8965665,Flight 1 Step 14,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),801562.4054,652507.5218,30N,Ghana Mean Time,05:00.0
280076906,TRUE,10:00.0,-0.2836258,5.9183595,Flight 1 Step 15,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),800775.0584,654915.4444,30N,Ghana Mean Time,10:00.0
280076907,TRUE,15:00.0,-0.2873906,5.9454882,Flight 1 Step 16,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),800343.1869,657915.5773,30N,Ghana Mean Time,15:00.0
280076908,TRUE,19:59.0,-0.291938,5.9696765,Flight 1 Step 17,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),799826.1823,660589.8743,30N,Ghana Mean Time,19:59.0
280076909,TRUE,25:01.0,-0.2983186,5.991117,Flight 1 Step 18,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),799107.5649,662959.0758,30N,Ghana Mean Time,25:01.0
280076910,TRUE,30:00.0,-0.3000283,6.0129006,Flight 1 Step 19,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),798906.256,665368.785,30N,Ghana Mean Time,30:00.0
280076911,TRUE,35:00.0,-0.3050259,6.0369589,Flight 1 Step 20,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),798339.4295,668028.4107,30N,Ghana Mean Time,35:00.0
280076912,TRUE,40:00.0,-0.3072907,6.061921,Flight 1 Step 21,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),798074.8375,670789.5413,30N,Ghana Mean Time,40:00.0
280076913,TRUE,45:01.0,-0.3097283,6.0873401,Flight 1 Step 22,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),797790.8195,673601.1422,30N,Ghana Mean Time,45:01.0
280076914,TRUE,50:00.0,-0.3166053,6.1101298,Flight 1 Step 23,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),797016.4857,676119.3044,30N,Ghana Mean Time,50:00.0
280076915,TRUE,55:01.0,-0.3158312,6.1364948,Flight 1 Step 24,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),797087.6395,679037.3391,30N,Ghana Mean Time,55:01.0
280076916,TRUE,44:59.0,-0.3223306,6.1208174,Flight 2 Step 1,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),796376.4229,677298.8502,30N,Ghana Mean Time,44:59.0
280076917,TRUE,50:02.0,-0.3164032,6.0923315,Flight 2 Step 2,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),797048.6839,674149.8206,30N,Ghana Mean Time,50:02.0
280076918,TRUE,55:00.0,-0.3093348,6.0608264,Flight 2 Step 3,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),797848.999,670667.2858,30N,Ghana Mean Time,55:00.0
280076919,TRUE,59:59.0,-0.3021932,6.0285784,Flight 2 Step 4,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),798657.8365,667102.5533,30N,Ghana Mean Time,59:59.0
280076920,TRUE,05:00.0,-0.2960765,5.9950163,Flight 2 Step 5,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),799353.8452,663391.8099,30N,Ghana Mean Time,05:00.0
280076921,TRUE,10:01.0,-0.2908307,5.9634563,Flight 2 Step 6,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),799952.2542,659902.1266,30N,Ghana Mean Time,10:01.0
280076922,TRUE,15:00.0,-0.2837782,5.9321356,Flight 2 Step 7,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),800750.7047,656439.8853,30N,Ghana Mean Time,15:00.0
280076923,TRUE,19:59.0,-0.2777805,5.9004109,Flight 2 Step 8,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),801432.4922,652932.3371,30N,Ghana Mean Time,19:59.0
280076924,TRUE,25:00.0,-0.274389,5.867288,Flight 2 Step 9,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),801826.2027,649268.6263,30N,Ghana Mean Time,25:00.0
280076925,TRUE,30:01.0,-0.2724568,5.8325066,Flight 2 Step 10,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),802059.0184,645420.5792,30N,Ghana Mean Time,30:01.0
280076926,TRUE,35:00.0,-0.2675014,5.8016568,Flight 2 Step 11,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),802624.7242,642009.2313,30N,Ghana Mean Time,35:00.0
280076927,TRUE,40:00.0,-0.2602797,5.7700559,Flight 2 Step 12,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),803442.0006,638515.9502,30N,Ghana Mean Time,40:00.0
280076928,TRUE,45:00.0,-0.2539918,5.7363415,Flight 2 Step 13,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),804156.8919,634788.2505,30N,Ghana Mean Time,45:00.0
280076929,TRUE,49:59.0,-0.2551686,5.7021503,Flight 2 Step 14,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),804044.5255,631003.8099,30N,Ghana Mean Time,49:59.0
280076930,TRUE,55:00.0,-0.244742,5.6736705,Flight 2 Step 15,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),805215.3891,627857.5461,30N,Ghana Mean Time,55:00.0
280076931,TRUE,00:00.0,-0.2283575,5.6466917,Flight 2 Step 16,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),807046.0428,624880.5069,30N,Ghana Mean Time,00:00.0
280076932,TRUE,14:59.0,-0.1826897,5.5869561,Flight 3 Step 1,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),812141.0181,618293.7202,30N,Ghana Mean Time,14:59.0
280076933,TRUE,20:01.0,-0.1970248,5.6148723,Flight 3 Step 2,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),810536.7564,621375.6485,30N,Ghana Mean Time,20:01.0
280076934,TRUE,25:00.0,-0.2111269,5.6450524,Flight 3 Step 3,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),808957.2246,624708.2134,30N,Ghana Mean Time,25:00.0
280076935,TRUE,30:00.0,-0.2264132,5.6735621,Flight 3 Step 4,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),807247.3921,627855.2495,30N,Ghana Mean Time,30:00.0
280076936,TRUE,35:00.0,-0.2389077,5.7023117,Flight 3 Step 5,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),805847.0301,631030.2839,30N,Ghana Mean Time,35:00.0
280076937,TRUE,40:01.0,-0.252227,5.7317156,Flight 3 Step 6,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),804354.9697,634277.2557,30N,Ghana Mean Time,40:01.0
280076938,TRUE,44:59.0,-0.2569999,5.7678448,Flight 3 Step 7,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),803806.7122,638273.0059,30N,Ghana Mean Time,44:59.0
280076939,TRUE,50:00.0,-0.2619501,5.8088126,Flight 3 Step 8,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),803236.1624,642804.1064,30N,Ghana Mean Time,50:00.0
280076940,TRUE,55:01.0,-0.2702104,5.8464687,Flight 3 Step 9,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),802300.4838,646966.9056,30N,Ghana Mean Time,55:01.0
280076941,TRUE,59:59.0,-0.2760369,5.8868825,Flight 3 Step 10,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),801633.0193,651436.1617,30N,Ghana Mean Time,59:59.0
280076942,TRUE,05:00.0,-0.2808704,5.9301872,Flight 3 Step 11,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),801073.964,656225.847,30N,Ghana Mean Time,05:00.0
280076943,TRUE,10:00.0,-0.2856748,5.9717418,Flight 3 Step 12,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),800519.0033,660821.8471,30N,Ghana Mean Time,10:00.0
280076944,TRUE,15:00.0,-0.2907697,6.0144778,Flight 3 Step 13,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),799931.1356,665548.4002,30N,Ghana Mean Time,15:00.0
280076945,TRUE,20:01.0,-0.2973167,6.0571259,Flight 3 Step 14,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),799182.3788,670264.3962,30N,Ghana Mean Time,20:01.0
280076946,TRUE,25:00.0,-0.3049061,6.1026307,Flight 3 Step 15,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),798316.5271,675295.9101,30N,Ghana Mean Time,25:00.0
280076947,TRUE,30:00.0,-0.3151623,6.1416696,Flight 3 Step 16,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),797158.8558,679610.3654,30N,Ghana Mean Time,30:00.0
280076948,TRUE,19:59.0,-0.3181406,6.1056036,Flight 4 Step 1,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),796848.9224,675617.5785,30N,Ghana Mean Time,19:59.0
280076949,TRUE,25:02.0,-0.3111704,6.0742095,Flight 4 Step 2,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),797638.3044,672147.2826,30N,Ghana Mean Time,25:02.0
280076950,TRUE,30:00.0,-0.302822,6.0421972,Flight 4 Step 3,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),798580.7101,668609.3059,30N,Ghana Mean Time,30:00.0
280076951,TRUE,34:59.0,-0.2946692,6.0094979,Flight 4 Step 4,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),799501.8442,664995.1657,30N,Ghana Mean Time,34:59.0
280076952,TRUE,40:00.0,-0.2872948,5.9763365,Flight 4 Step 5,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),800337.0039,661329.4309,30N,Ghana Mean Time,40:00.0
280076953,TRUE,45:00.0,-0.2822626,5.9429448,Flight 4 Step 6,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),800912.768,657636.9043,30N,Ghana Mean Time,45:00.0
280076954,TRUE,50:00.0,-0.2763675,5.9097371,Flight 4 Step 7,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),801584.0191,653965.1864,30N,Ghana Mean Time,50:00.0
280076955,TRUE,55:00.0,-0.2722616,5.8772136,Flight 4 Step 8,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),802056.606,650368.1931,30N,Ghana Mean Time,55:00.0
280076956,TRUE,00:01.0,-0.2690219,5.8410914,Flight 4 Step 9,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),802435.0884,646372.464,30N,Ghana Mean Time,00:01.0
280076957,TRUE,04:59.0,-0.2665703,5.8103479,Flight 4 Step 10,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),802723.2755,642971.5348,30N,Ghana Mean Time,04:59.0
280076958,TRUE,10:01.0,-0.2609984,5.7757504,Flight 4 Step 11,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),803359.3074,639145.7544,30N,Ghana Mean Time,10:01.0
280076959,TRUE,15:00.0,-0.254518,5.7372486,Flight 4 Step 12,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),804098.0831,634888.3564,30N,Ghana Mean Time,15:00.0
280076960,TRUE,20:00.0,-0.251051,5.6995599,Flight 4 Step 13,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),804502.3441,630719.3149,30N,Ghana Mean Time,20:00.0
280076961,TRUE,25:02.0,-0.2298575,5.6604793,Flight 4 Step 14,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),806872.4696,626405.5677,30N,Ghana Mean Time,25:02.0
280076962,TRUE,10:00.0,-0.1845442,5.6018874,Flight 5 Step 1,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),811927.4647,619945.22,30N,Ghana Mean Time,10:00.0
280076963,TRUE,15:00.0,-0.1961584,5.6297742,Flight 5 Step 2,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),810624.9057,623025.3247,30N,Ghana Mean Time,15:00.0
280076964,TRUE,19:59.0,-0.2157325,5.6607652,Flight 5 Step 3,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),808438.2791,626444.7009,30N,Ghana Mean Time,19:59.0
280076965,TRUE,25:01.0,-0.2335389,5.6890798,Flight 5 Step 4,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),806449.2123,629568.7872,30N,Ghana Mean Time,25:01.0
280076966,TRUE,29:59.0,-0.2489547,5.7158983,Flight 5 Step 5,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),804726.0873,632528.5433,30N,Ghana Mean Time,29:59.0
280076967,TRUE,35:01.0,-0.266786,5.7468333,Flight 5 Step 6,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),802733.1551,635942.5462,30N,Ghana Mean Time,35:01.0
280076968,TRUE,40:00.0,-0.2755926,5.7798278,Flight 5 Step 7,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),801739.5532,639589.2113,30N,Ghana Mean Time,40:00.0
280076969,TRUE,44:59.0,-0.2820112,5.8140241,Flight 5 Step 8,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),801009.9935,643370.1103,30N,Ghana Mean Time,44:59.0
280076970,TRUE,50:00.0,-0.2899638,5.85038,Flight 5 Step 9,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),800109.2634,647389.1502,30N,Ghana Mean Time,50:00.0
280076971,TRUE,55:00.0,-0.2893309,5.8869078,Flight 5 Step 10,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),800159.8333,651431.7902,30N,Ghana Mean Time,55:00.0
280076972,TRUE,00:00.0,-0.2901439,5.9194602,Flight 5 Step 11,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),800052.2051,655033.7229,30N,Ghana Mean Time,00:00.0
280076973,TRUE,05:01.0,-0.2936977,5.9522249,Flight 5 Step 12,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),799640.6928,658657.6588,30N,Ghana Mean Time,05:01.0
280076974,TRUE,09:59.0,-0.2967003,5.9859548,Flight 5 Step 13,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),799289.6747,662388.6925,30N,Ghana Mean Time,09:59.0
280076975,TRUE,15:00.0,-0.3018345,6.019014,Flight 5 Step 14,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),798702.8095,666044.3242,30N,Ghana Mean Time,15:00.0
280076976,TRUE,20:00.0,-0.3074736,6.0502717,Flight 5 Step 15,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),798060.9726,669500.2982,30N,Ghana Mean Time,20:00.0
280076977,TRUE,25:01.0,-0.3111328,6.0855477,Flight 5 Step 16,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),797636.2283,673402.0158,30N,Ghana Mean Time,25:01.0
280076978,TRUE,30:00.0,-0.315926,6.1193879,Flight 5 Step 17,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),797086.6132,677144.2005,30N,Ghana Mean Time,30:00.0
280076979,TRUE,50:00.0,-0.3246225,6.1276357,Flight 6 Step 1,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),796118.8021,678052.107,30N,Ghana Mean Time,50:00.0
280076980,TRUE,54:59.0,-0.3178901,6.102276,Flight 6 Step 2,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),796878.5039,675249.4783,30N,Ghana Mean Time,54:59.0
280076981,TRUE,00:01.0,-0.3116955,6.070059,Flight 6 Step 3,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),797582.4181,671687.6896,30N,Ghana Mean Time,00:01.0
280076982,TRUE,05:01.0,-0.3037015,6.0382561,Flight 6 Step 4,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),798485.4389,668172.6891,30N,Ghana Mean Time,05:01.0
280076983,TRUE,10:00.0,-0.2941883,6.0058268,Flight 6 Step 5,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),799557.1322,664589.1718,30N,Ghana Mean Time,10:00.0
280076984,TRUE,14:59.0,-0.2868296,5.974178,Flight 6 Step 6,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),800389.7248,661090.8164,30N,Ghana Mean Time,14:59.0
280076985,TRUE,20:01.0,-0.2842242,5.944839,Flight 6 Step 7,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),800694.386,657845.4569,30N,Ghana Mean Time,20:01.0
280076986,TRUE,25:00.0,-0.2808389,5.9156597,Flight 6 Step 8,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),801085.3337,654618.1837,30N,Ghana Mean Time,25:00.0
280076987,TRUE,30:00.0,-0.2763387,5.8875232,Flight 6 Step 9,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),801599.2292,651506.9016,30N,Ghana Mean Time,30:00.0
280076988,TRUE,35:00.0,-0.2732102,5.8588105,Flight 6 Step 10,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),801961.4012,648331.0984,30N,Ghana Mean Time,35:00.0
280076989,TRUE,40:00.0,-0.2701897,5.8288634,Flight 6 Step 11,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),802312.2264,645018.6202,30N,Ghana Mean Time,40:00.0
280076990,TRUE,45:01.0,-0.269524,5.8022008,Flight 6 Step 12,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),802400.2632,642068.3521,30N,Ghana Mean Time,45:01.0
280076991,TRUE,50:00.0,-0.2638239,5.7753998,Flight 6 Step 13,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),803046.3196,639105.448,30N,Ghana Mean Time,50:00.0
280076992,TRUE,55:00.0,-0.2560176,5.7461972,Flight 6 Step 14,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),803927.1088,635877.8686,30N,Ghana Mean Time,55:00.0
280076993,TRUE,00:00.0,-0.257012,5.7143887,Flight 6 Step 15,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),803833.7241,632357.2134,30N,Ghana Mean Time,00:00.0
280076994,TRUE,04:59.0,-0.2449638,5.6845478,Flight 6 Step 16,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),805185.068,629061.1891,30N,Ghana Mean Time,04:59.0
280076995,TRUE,10:00.0,-0.2311511,5.6564695,Flight 6 Step 17,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),806731.1723,625961.1254,30N,Ghana Mean Time,10:00.0
280076996,TRUE,15:00.0,-0.2182576,5.6286636,Flight 6 Step 18,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),808175.313,622890.6896,30N,Ghana Mean Time,15:00.0
280076997,TRUE,15:00.0,-0.2001912,5.6150954,Flight 7 Step 1,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),810185.5622,621398.6584,30N,Ghana Mean Time,15:00.0
280076998,TRUE,20:00.0,-0.2155277,5.6471059,Flight 7 Step 2,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),808468.2278,624933.1377,30N,Ghana Mean Time,20:00.0
280076999,TRUE,25:01.0,-0.2315404,5.6781055,Flight 7 Step 3,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),806676.5786,628355.3404,30N,Ghana Mean Time,25:01.0
280077000,TRUE,30:00.0,-0.2471408,5.7096253,Flight 7 Step 4,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),804930.4837,631835.2914,30N,Ghana Mean Time,30:00.0
280077001,TRUE,34:59.0,-0.260892,5.7472999,Flight 7 Step 5,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),803386.2227,635997.3094,30N,Ghana Mean Time,34:59.0
280077002,TRUE,40:01.0,-0.2677066,5.7896685,Flight 7 Step 6,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),802608.3749,640682.4311,30N,Ghana Mean Time,40:01.0
280077003,TRUE,44:59.0,-0.2755424,5.8324771,Flight 7 Step 7,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),801717.0683,645415.6599,30N,Ghana Mean Time,44:59.0
280077004,TRUE,50:00.0,-0.2845463,5.8792278,Flight 7 Step 8,18,95,gps,Eidolon helvum,1607,1607,Fruit bats in Ghana (data from Sapir et al. 2014),800694.1679,650584.4663,30N,Ghana Mean Time,50:00.0
